price,total_floor,area_size,elevator,date_on_market,last_transact_date,bedrm_no,parlour_no,kitchen_no,toilet_no,stair,unit,proportion,mid_floor,higher_floor,duplex_config,levelling_config,split_level_config,diepin,talou,pingfang,bantajiehe,banlou,dudong,lianpai,south,west,north,northeast,southeast,northwest,southwest,frame_struct,mixed_struct,brickwood_struct,brickmix_struct,steelmix_struct,steel_struct,maopei,jianzhuang,jingzhuang,public_housing,commercial_housing,office,n_linong,o_linong,residential,apartment,garden_house,beyong_two,beyond_five,shared,uploaded,central_outer,inner,inner_central,after_work,call_agent,only_weekend,reservation,baoshan,changning,chongming,fengxian,hongkou,huangpu,jiading,jingan,jinshan,minhang,pudong,putuo,qingpu,songjiang,xuhui
4390000.0,6,63.71,0.0,36,3516.0,2,1,1,1,1.0,2.0,0.5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4680000.0,13,129.12,1.0,39,3707.0,3,2,1,2,1.0,2.0,0.5,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7950000.0,6,79.69,0.0,37,853.0,2,1,1,1,1.0,3.0,0.3333333333333333,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2790000.0,18,84.72,,32,1530.0,3,1,1,1,1.0,4.0,0.25,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2890000.0,18,71.04,1.0,39,2093.0,2,1,1,1,2.0,4.0,0.5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4200000.0,6,71.55,0.0,39,2420.0,2,1,1,1,1.0,2.0,0.5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1680000.0,6,80.3,0.0,27,3239.0,2,1,1,1,1.0,2.0,0.5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3950000.0,14,78.3,1.0,38,3608.0,2,1,1,1,1.0,3.0,0.3333333333333333,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4400000.0,15,73.85,1.0,39,2981.0,2,2,1,1,2.0,4.0,0.5,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9600000.0,14,120.59,1.0,42,1260.0,3,2,0,2,1.0,3.0,0.3333333333333333,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6800000.0,18,74.69,1.0,46,2641.0,2,1,1,1,2.0,4.0,0.5,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050000.0,13,87.37,,28,3437.0,2,2,1,1,1.0,2.0,0.5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3610000.0,14,72.49,1.0,31,4911.0,2,1,1,1,1.0,3.0,0.3333333333333333,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6600000.0,18,89.79,1.0,29,3837.0,2,2,1,1,2.0,4.0,0.5,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2720000.0,6,97.12,0.0,28,4849.0,2,1,1,1,1.0,2.0,0.5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
